[coverage strength]
5
""
S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S11_submit_submitButton,S3_select_schedulingTypeSelect_index_3,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,action,test1
IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,MULTIPLE_FUTURE,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,action,test1
