[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,validAcceptableAmount,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,SINGLE_FUTURE,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,SINGLE_FUTURE,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,SINGLE_FUTURE,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,test1,action
