[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
