[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S10_type_firstPaymentDate,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidPaymentPastDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,02/02/2012,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidPaymentFutureDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidPaymentPastDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,02/02/2012,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidPaymentFutureDate,action,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,02/02/2012,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidPaymentPastDate,action,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,anyString,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidPaymentFutureDate,action,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,anyString,action
