[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_2,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE
