[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,test1
