[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_1,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,IMMEDIATELY,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
