[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S5_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,anyString
