[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
