[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
