[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
