[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S6_select_schedulingTypeSelect_index_3,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,SINGLE_FUTURE,action,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1
