[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S11_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,action,action
