[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S10_click_calculatePaymentsButton,S8c3_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,anyString
