[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,action,anyString,action,test1
