[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_click_calculatePaymentsButton,S14_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,action,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
