[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S10_submit_submitButton,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
