[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_click_calculatePaymentsButton,S2_type_amount,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountRight,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validAcceptableAmount,action,action,test1
invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidAmountLeft,action,action,test1
