[coverage strength]
3
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S10_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,action
