[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1,anyString,action
