[coverage strength]
3
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_2,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,DAYS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,DAYS,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
