[coverage strength]
3
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_1,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validPaymentCountBetween17and36,DAYS,IMMEDIATELY,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,DAYS,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,DAYS,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,WEEKS,IMMEDIATELY,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,MONTHS,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,DAYS,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,WEEKS,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,MONTHS,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
