[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_1,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,WEEKS,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,DAYS,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,DAYS,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,action
