[coverage strength]
5
""
S7_type_paymentCount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountRight,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
invalidPaymentCountLef,SINGLE_FUTURE,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,test1
