[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,SINGLE_FUTURE,action,action,test1,action,anyString
