[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S11_submit_submitButton,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
