[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S8c3_submit_submitButton,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,action,test1,anyString
