[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S12_submit_submitButton,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE
