[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S13_submit_submitButton
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,MULTIPLE_FUTURE,action
