[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1
